Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2543512,10-Mar-23,Texas,Houston,2700 block of Reed Rd,0,3,N/A
2542927,9-Mar-23,Florida,Saint Petersburg (Saint Pete Beach),1900 block of 11th Ave,0,1,N/A
2542853,9-Mar-23,Iowa,West Des Moines,316 58th Ct,0,1,N/A
2542910,9-Mar-23,Ohio,Toledo,3500 block of Upton Ave,0,1,N/A
2542145,7-Mar-23,Indiana,Lafayette,1400 block of N 15th St,0,1,N/A
2540460,6-Mar-23,Texas,Amarillo,NE 20th Ave and N Aurhur St,0,1,N/A
2541049,5-Mar-23,Florida,Lakeland,2455 Jim Galloway Rd,0,1,N/A
2546155,3-Mar-23,Georgia,Roswell,500 block of Wexford Hollow Run,0,1,N/A
2535633,28-Feb-23,Texas,Katy,1000 block of Apache Falls Dr,0,1,N/A
2533943,25-Feb-23,Oklahoma,Tulsa,2505 E 88th St,0,1,N/A
2536199,25-Feb-23,Idaho,Idaho Falls (Ammon),E 49th S and S 45th E,0,1,N/A
2533864,25-Feb-23,Missouri,Saint Louis,3100 block of Miami St,0,1,N/A
2530614,21-Feb-23,Indiana,Lafayette,1400 block of N 15th St,0,1,N/A
2530747,20-Feb-23,Texas,Fort Worth,1800 E Robert St,0,1,N/A
2530330,20-Feb-23,Kentucky,Hopkinsville,2850 Greenville Rd,0,1,N/A
2530929,20-Feb-23,Kentucky,Louisville,800 block of S 38th St,0,2,N/A
2529727,19-Feb-23,South Carolina,Belton,153 Range Rd,0,1,N/A
2530022,19-Feb-23,Oklahoma,Oklahoma City,NW 10th St and N Gibson Ave,0,3,N/A
2530063,18-Feb-23,Texas,Kemp,FM 1391,0,1,N/A
2530019,18-Feb-23,Oklahoma,Oklahoma City,NW 115th St and N Rockwell Ave,0,1,N/A
2524440,13-Feb-23,Indiana,East Chicago,3932 Butternut St,0,1,N/A
2525065,13-Feb-23,Oregon,Salem,Arbon Dr and Vallejo St NE,1,2,N/A
2523655,12-Feb-23,Maryland,Baltimore,3800 block of Belair Rd,0,1,N/A
2523730,11-Feb-23,Tennessee,Chattanooga,500 block of Arlington Ave,0,1,N/A
2521322,8-Feb-23,Alabama,Mobile,7000 block of Golster Ct,0,1,N/A
2521027,7-Feb-23,West Virginia,Fairmont,Oregon Ave,0,1,N/A
2520999,7-Feb-23,Mississippi,Biloxi,258 Stennis Dr,0,1,N/A
2520269,7-Feb-23,Illinois,Chicago,7700 S Honore St,0,1,N/A
2519759,6-Feb-23,Illinois,Chicago,5901 W Huron St,0,1,N/A
2517748,4-Feb-23,Kentucky,Lexington,1101 E New Circle Rd,0,1,N/A
2519338,4-Feb-23,Pennsylvania,Harrisburg,300 block of Hummel St,0,1,N/A
2516846,2-Feb-23,Ohio,Columbus,Dana Dr,0,2,N/A
2515578,31-Jan-23,New York,Brooklyn,325 Bristol St,0,1,N/A
2513908,27-Jan-23,Alabama,Northport,Knoll Cir,0,1,N/A
2511848,24-Jan-23,Pennsylvania,Easton,1200 block of Ferry St,0,1,N/A
2546314,23-Jan-23,Utah,Tooele,N/A,0,1,N/A
2510382,23-Jan-23,Pennsylvania,Erie,1200 block of W 20th St,0,1,N/A
2509247,22-Jan-23,Illinois,Kewanee,800 block of Birch Pl,0,1,N/A
2506512,19-Jan-23,Illinois,Chicago,1400 block of E 87th St,0,1,N/A
2506191,19-Jan-23,Minnesota,Minneapolis,8200 block of Queen Ave S,0,1,N/A
2504228,16-Jan-23,Texas,Denison,500 block of Dean Dr,0,1,N/A
2502603,14-Jan-23,Minnesota,Saint Paul,200 block of Arch St E,0,1,N/A
2502396,14-Jan-23,South Carolina,Andrews,W Myrtle Rd,0,1,N/A
2509348,8-Jan-23,Illinois,Joliet,400 block of Irving St,0,1,N/A
2498314,8-Jan-23,Florida,Tampa,2600 block of E 111th Ave,1,1,N/A
2497485,6-Jan-23,Iowa,Fort Dodge,1801 Third Ave S,0,1,N/A
2509104,5-Jan-23,Indiana,Indianapolis,8000 block of Wysong Dr,0,1,N/A
2496245,4-Jan-23,Illinois,Joliet,600 block of Clement St,0,2,N/A
2494513,3-Jan-23,Indiana,Indianapolis,6020 E 82nd St,1,1,N/A
2493068,1-Jan-23,Texas,Houston,6405 W Bellfort Blvd,0,1,N/A
2496192,1-Jan-23,Arizona,Nogales,Kitchen St,0,1,N/A
2493056,1-Jan-23,Texas,Arlington,200 block of Roberts Cir,0,1,N/A
2492351,1-Jan-23,Georgia,Atlanta,Peachtree St and Wall St,0,1,N/A
2491973,30-Dec-22,Kansas,Junction City,Humboldt Creek Rd,0,1,N/A
2490067,28-Dec-22,Washington,Seattle,11000 block of Lake City Way NE,0,1,N/A
2489109,26-Dec-22,Missouri,Saint Louis,7100 block of Vermont Ave,0,1,N/A
2487325,23-Dec-22,Minnesota,Minneapolis (Bloomington),60 E Broadway,1,1,N/A
2486067,20-Dec-22,Georgia,Lagrange,1000 block of Borton St,0,1,N/A
2484468,19-Dec-22,Texas,San Antonio,7200 block of Marbach Rd,0,1,N/A
2483960,18-Dec-22,Texas,San Antonio,Marbach Rd and Military Dr W,0,1,N/A
2482978,16-Dec-22,California,Los Angeles,1615 Martin Luther Blvd,0,2,N/A
2478874,10-Dec-22,Georgia,Lithonia,2929 Turner Hill Rd,0,1,N/A
2501092,7-Dec-22,Ohio,Cleveland,12690 Rockside Rd,0,2,N/A
2474827,5-Dec-22,Tennessee,Memphis,817 Brownlee Rd,0,1,N/A
2474346,4-Dec-22,Louisiana,Shreveport,5600 block of Hearne Ave,0,1,N/A
2474588,3-Dec-22,Florida,Stuart,N/A,0,1,N/A
2472622,1-Dec-22,Texas,Plantersville,N/A,0,1,N/A
2472001,30-Nov-22,Tennessee,Clarksville,McGraw St and Greenwood Ave,0,1,N/A
2469716,27-Nov-22,Kansas,Meridan,114th St and King Rd,0,1,N/A
2469039,27-Nov-22,Michigan,Detroit,16800 block of Mark Twain St,1,1,N/A
2469048,26-Nov-22,Pennsylvania,Akron,900 block of High St,0,1,N/A
2467813,24-Nov-22,Texas,Galveston,N/A,0,1,N/A
2462890,19-Nov-22,Indiana,Evansville,1100 block of W Mill Rd,0,1,N/A
2492039,19-Nov-22,Wisconsin,Marquette (county),N/A,0,1,N/A
2492061,19-Nov-22,Wisconsin,Iowa (county),N/A,0,1,N/A
2467562,18-Nov-22,Indiana,Evansville,1125 Wellington Dr,0,1,N/A
2462848,18-Nov-22,New York,Yonkers,160 Linden St,0,1,N/A
2461545,17-Nov-22,Indiana,Clinton,776 Wildcat Dr,0,1,N/A
2462047,17-Nov-22,Indiana,Evansville,E Oregon St and N Garvin St,0,1,N/A
2459103,13-Nov-22,Texas,San Antonio,800 block of Rayburn Dr,0,1,N/A
2456342,8-Nov-22,Georgia,Atlanta,46 Wall St SW,0,1,N/A
2452636,3-Nov-22,Arizona,Chandler,S McQueen Rd and Hunt Hwy,0,1,N/A
2449870,1-Nov-22,New York,Rochester,100 block of Weld St,1,1,N/A
2450938,30-Oct-22,California,Apple Valley,20000 block of Zuni Rd,0,1,N/A
2452324,29-Oct-22,Texas,Lubbock,2500 block of Bates St,0,1,N/A
2447698,28-Oct-22,Ohio,Niles,Maple St and N Chestnut Ave,0,1,N/A
2448268,28-Oct-22,Arkansas,Little Rock,9600 W 36th St,0,1,N/A
2443164,22-Oct-22,Michigan,Bay City,200 block of S Sherman St,0,1,N/A
2443491,22-Oct-22,Georgia,Athens,100 block of Essex Ct,0,1,N/A
2441677,18-Oct-22,California,Vacaville,N/A,0,1,N/A
2440355,18-Oct-22,Georgia,Bibb (county),N/A,0,1,N/A
2439129,16-Oct-22,Indiana,Indianapolis,11000 block of Waterfield Pl,0,1,N/A
2437677,14-Oct-22,Missouri,Saint Louis,5100 block of Northland Ave,0,1,N/A
2436746,13-Oct-22,Tennessee,Nashville,83 Carroll St,0,1,N/A
2436499,12-Oct-22,Texas,Marshall,500 block of Tom Woodley Rd,0,1,N/A
2436486,12-Oct-22,Florida,Largo,N/A,0,1,N/A
2433690,8-Oct-22,Nebraska,Omaha,Vinton St and S 12th St,0,1,N/A
2433363,8-Oct-22,California,Merced,655 W 18th St,1,3,N/A
2431370,4-Oct-22,Idaho,Pocatello,200 block of N Garfield Ave,0,1,N/A
2429973,3-Oct-22,Texas,Houston,6900 block of Great Oaks Shadow Dr,0,1,N/A
2430574,3-Oct-22,Indiana,Anderson,743 W 10th St,0,1,N/A
2429504,2-Oct-22,California,Merced,200 block of E 20th St,0,1,N/A
2429472,2-Oct-22,Alabama,Birmingham,1000 block of 5th St N,0,1,N/A
2428499,1-Oct-22,South Carolina,Darlington,S Charleston Rd,0,1,N/A
2425344,27-Sep-22,Georgia,Macon,Wren Ave,0,1,N/A
2423821,24-Sep-22,Connecticut,Hamden,Butler St and Goodrich St,0,1,N/A
2419862,19-Sep-22,Ohio,Columbus,Cable Ave and Rodgers Ave,0,1,N/A
2532464,18-Sep-22,Texas,Odessa,6800 block of W 26th St,0,1,N/A
2417879,17-Sep-22,Tennessee,Memphis,4205 Ann Arbor Ct,0,2,N/A
2414051,13-Sep-22,Tennessee,Antioch,1300 block of Rural Hill Rd,0,1,N/A
2413187,12-Sep-22,Illinois,Rockford,2211 Charles St,0,1,N/A
2413081,12-Sep-22,South Carolina,Columbia,Sutters Mill Rd and Clemson Rd,0,1,N/A
2412411,11-Sep-22,Pennsylvania,Philadelphia,58th St and Vine St,0,1,N/A
2407943,5-Sep-22,Arizona,Phoenix,4415 S 28th St,1,3,N/A
2407620,5-Sep-22,Ohio,Columbus,1319 Polaris Pkwy,0,1,N/A
2408164,5-Sep-22,Virginia,Norfolk,1400 block of W 27th St,0,2,N/A
2405920,3-Sep-22,Illinois,Chicago,3500 block of W Montrose Ave,0,1,N/A
2408952,3-Sep-22,Indiana,Greenfield,1100 block of W 7th St,0,1,N/A
2408252,2-Sep-22,Indiana,Winamac,5425 S 700 W,0,1,N/A
