month,state,totals
2018-09,Alabama,32706
2018-09,Alaska,5699
2018-09,Arizona,30667
2018-09,Arkansas,17072
2018-09,California,91975
2018-09,Colorado,35347
2018-09,Connecticut,12754
2018-09,Delaware,2843
2018-09,District of Columbia,203
2018-09,Florida,78804
2018-09,Georgia,36097
2018-09,Guam,120
2018-09,Hawaii,975
2018-09,Idaho,15566
2018-09,Illinois,228695
2018-09,Indiana,51787
2018-09,Iowa,13861
2018-09,Kansas,11429
2018-09,Kentucky,409385
2018-09,Louisiana,25058
2018-09,Maine,7926
2018-09,Mariana Islands,8
2018-09,Maryland,10237
2018-09,Massachusetts,16320
2018-09,Michigan,34781
2018-09,Minnesota,43339
2018-09,Mississippi,17683
2018-09,Missouri,35005
2018-09,Montana,9770
2018-09,Nebraska,4763
2018-09,Nevada,8486
2018-09,New Hampshire,9009
2018-09,New Jersey,6138
2018-09,New Mexico,11160
2018-09,New York,29374
2018-09,North Carolina,29572
2018-09,North Dakota,5226
2018-09,Ohio,45698
2018-09,Oklahoma,22160
2018-09,Oregon,26644
2018-09,Pennsylvania,70420
2018-09,Puerto Rico,2490
2018-09,Rhode Island,1621
2018-09,South Carolina,20159
2018-09,South Dakota,7305
2018-09,Tennessee,46134
2018-09,Texas,121366
2018-09,Utah,18221
2018-09,Vermont,3590
2018-09,Virgin Islands,99
2018-09,Virginia,33627
2018-09,Washington,42874
2018-09,West Virginia,15411
2018-09,Wisconsin,33194
2018-09,Wyoming,4988
2018-08,Alabama,37227
2018-08,Alaska,6818
2018-08,Arizona,34149
2018-08,Arkansas,20502
2018-08,California,103019
2018-08,Colorado,40922
2018-08,Connecticut,14338
2018-08,Delaware,2914
2018-08,District of Columbia,329
2018-08,Florida,89711
2018-08,Georgia,40046
2018-08,Guam,133
2018-08,Hawaii,1129
2018-08,Idaho,14312
2018-08,Illinois,242864
2018-08,Indiana,60712
2018-08,Iowa,14306
2018-08,Kansas,12690
2018-08,Kentucky,411800
2018-08,Louisiana,24273
2018-08,Maine,6951
2018-08,Mariana Islands,13
2018-08,Maryland,11281
2018-08,Massachusetts,17975
2018-08,Michigan,36381
2018-08,Minnesota,41548
2018-08,Mississippi,20545
2018-08,Missouri,37674
2018-08,Montana,9309
2018-08,Nebraska,4456
2018-08,Nevada,9350
2018-08,New Hampshire,9005
2018-08,New Jersey,7216
2018-08,New Mexico,12038
2018-08,New York,27145
2018-08,North Carolina,39800
2018-08,North Dakota,4700
2018-08,Ohio,50289
2018-08,Oklahoma,24190
2018-08,Oregon,25648
2018-08,Pennsylvania,74944
2018-08,Puerto Rico,2816
2018-08,Rhode Island,1733
2018-08,South Carolina,27280
2018-08,South Dakota,7156
2018-08,Tennessee,52483
2018-08,Texas,134727
2018-08,Utah,22634
2018-08,Vermont,2781
2018-08,Virgin Islands,59
2018-08,Virginia,34578
2018-08,Washington,44867
2018-08,West Virginia,15366
2018-08,Wisconsin,32732
2018-08,Wyoming,4445
2018-07,Alabama,32572
2018-07,Alaska,5714
2018-07,Arizona,26359
2018-07,Arkansas,19399
2018-07,California,94672
2018-07,Colorado,37788
2018-07,Connecticut,13650
2018-07,Delaware,2840
2018-07,District of Columbia,246
2018-07,Florida,82909
2018-07,Georgia,34244
2018-07,Guam,145
2018-07,Hawaii,1057
2018-07,Idaho,14478
2018-07,Illinois,198971
2018-07,Indiana,60457
2018-07,Iowa,10329
2018-07,Kansas,11364
2018-07,Kentucky,393583
2018-07,Louisiana,20229
2018-07,Maine,5968
2018-07,Mariana Islands,15
2018-07,Maryland,10020
2018-07,Massachusetts,14275
2018-07,Michigan,32443
2018-07,Minnesota,36279
2018-07,Mississippi,14206
2018-07,Missouri,30157
2018-07,Montana,7794
2018-07,Nebraska,4220
2018-07,Nevada,8903
2018-07,New Hampshire,8029
2018-07,New Jersey,6857
2018-07,New Mexico,10485
2018-07,New York,22405
2018-07,North Carolina,35244
2018-07,North Dakota,3791
2018-07,Ohio,45689
2018-07,Oklahoma,19932
2018-07,Oregon,23171
2018-07,Pennsylvania,66391
2018-07,Puerto Rico,2268
2018-07,Rhode Island,1472
2018-07,South Carolina,17434
2018-07,South Dakota,5385
2018-07,Tennessee,48261
2018-07,Texas,122071
2018-07,Utah,22301
2018-07,Vermont,2313
2018-07,Virgin Islands,138
2018-07,Virginia,32931
2018-07,Washington,41040
2018-07,West Virginia,13136
2018-07,Wisconsin,26598
2018-07,Wyoming,4118
2018-06,Alabama,32572
2018-06,Alaska,6330
2018-06,Arizona,28041
2018-06,Arkansas,18809
2018-06,California,99683
2018-06,Colorado,38395
2018-06,Connecticut,14440
2018-06,Delaware,3211
2018-06,District of Columbia,259
2018-06,Florida,88991
2018-06,Georgia,35963
2018-06,Guam,146
2018-06,Hawaii,1170
2018-06,Idaho,15401
2018-06,Illinois,225006
2018-06,Indiana,74423
2018-06,Iowa,10904
2018-06,Kansas,11501
2018-06,Kentucky,411606
2018-06,Louisiana,22339
2018-06,Maine,6156
2018-06,Mariana Islands,17
2018-06,Maryland,10333
2018-06,Massachusetts,15930
2018-06,Michigan,33308
2018-06,Minnesota,38204
2018-06,Mississippi,15858
2018-06,Missouri,32616
2018-06,Montana,8746
2018-06,Nebraska,4418
2018-06,Nevada,9442
2018-06,New Hampshire,8511
2018-06,New Jersey,7413
2018-06,New Mexico,11259
2018-06,New York,23921
2018-06,North Carolina,37350
2018-06,North Dakota,4124
2018-06,Ohio,47756
2018-06,Oklahoma,22471
2018-06,Oregon,26685
2018-06,Pennsylvania,71106
2018-06,Puerto Rico,2522
2018-06,Rhode Island,1685
2018-06,South Carolina,18597
2018-06,South Dakota,5779
2018-06,Tennessee,47938
2018-06,Texas,108008
2018-06,Utah,29176
2018-06,Vermont,2725
2018-06,Virgin Islands,116
2018-06,Virginia,32496
2018-06,Washington,44090
2018-06,West Virginia,14127
2018-06,Wisconsin,26403
2018-06,Wyoming,4362
2018-05,Alabama,33193
2018-05,Alaska,7548
2018-05,Arizona,28285
2018-05,Arkansas,17667
2018-05,California,104498
2018-05,Colorado,41583
2018-05,Connecticut,14409
2018-05,Delaware,3674
2018-05,District of Columbia,289
2018-05,Florida,95481
2018-05,Georgia,39528
2018-05,Guam,156
2018-05,Hawaii,1187
2018-05,Idaho,18243
2018-05,Illinois,233963
2018-05,Indiana,78143
2018-05,Iowa,13766
2018-05,Kansas,11062
2018-05,Kentucky,395487
2018-05,Louisiana,20265
2018-05,Maine,6847
2018-05,Mariana Islands,13
2018-05,Maryland,11990
2018-05,Massachusetts,18574
2018-05,Michigan,35563
2018-05,Minnesota,47533
2018-05,Mississippi,15999
2018-05,Missouri,31607
2018-05,Montana,8952
2018-05,Nebraska,5165
2018-05,Nevada,10327
2018-05,New Hampshire,9875
2018-05,New Jersey,8037
2018-05,New Mexico,11432
2018-05,New York,25621
2018-05,North Carolina,43211
2018-05,North Dakota,4539
2018-05,Ohio,51734
2018-05,Oklahoma,21697
2018-05,Oregon,28305
2018-05,Pennsylvania,75296
2018-05,Puerto Rico,2616
2018-05,Rhode Island,1887
2018-05,South Carolina,17103
2018-05,South Dakota,5720
2018-05,Tennessee,50613
2018-05,Texas,111159
2018-05,Utah,31638
2018-05,Vermont,2818
2018-05,Virgin Islands,136
2018-05,Virginia,32135
2018-05,Washington,46008
2018-05,West Virginia,17108
2018-05,Wisconsin,28841
2018-05,Wyoming,4820
2018-04,Alabama,34915
2018-04,Alaska,7367
2018-04,Arizona,31658
2018-04,Arkansas,18240
2018-04,California,121478
2018-04,Colorado,47462
2018-04,Connecticut,15269
2018-04,Delaware,4988
2018-04,District of Columbia,321
2018-04,Florida,102426
2018-04,Georgia,43671
2018-04,Guam,155
