Date,State,City_country,n_killed,n_injured
1-Jan-14,Virginia,Norfolk,2,2
3-Jan-14,New York,Queens,3,1
5-Jan-14,Pennsylvania,Erie,3,1
11-Jan-14,Mississippi,Jackson,4,0
12-Jan-14,Alabama,Huntsville,5,0
12-Jan-14,Louisiana,Tallulah,6,0
12-Jan-14,Illinois,Elgin,5,0
13-Jan-14,Michigan,Detroit,4,0
14-Jan-14,California,Los Angeles,4,0
16-Jan-14,Utah,Spanish Fork,0,5
16-Jan-14,Oklahoma,Ardmore,4,1
20-Jan-14,Virginia,Manassas,4,0
21-Jan-14,New Jersey,Newark,3,2
25-Jan-14,Florida,Belle Glade,4,0
25-Jan-14,Illinois,Chicago,4,1
27-Jan-14,Washington,Seattle,4,1
27-Jan-14,North Carolina,Rocky Mount,4,0
30-Jan-14,Texas,Cypress,0,4
3-Feb-14,Indiana,Franklin,2,2
5-Feb-14,Illinois,Chicago,3,1
6-Feb-14,Louisiana,New Orleans,4,0
7-Feb-14,Florida,Miami,5,0
12-Feb-14,California,Oakland,3,1
12-Feb-14,Indiana,Gary,4,0
12-Feb-14,California,Stockton,3,1
15-Feb-14,Nevada,Las Vegas,5,0
16-Feb-14,Florida,Jacksonville,4,1
16-Feb-14,Texas,Dallas,7,1
16-Feb-14,Indiana,Fort Wayne,5,0
16-Feb-14,Texas,Fort Worth,4,1
16-Feb-14,Florida,Orlando (Pine Hills),6,1
20-Feb-14,Indiana,Indianapolis,0,4
20-Feb-14,California,Alturas,1,4
22-Feb-14,California,Wilmington,4,0
25-Feb-14,Virginia,Glade Spring,1,3
1-Mar-14,Pennsylvania,Pittsburgh,4,1
5-Mar-14,South Carolina,Pelzer,1,3
8-Mar-14,Illinois,Chicago,6,0
8-Mar-14,California,Richmond,3,1
9-Mar-14,Texas,Austin,6,0
9-Mar-14,Ohio,Fremont,1,3
14-Mar-14,New York,Brooklyn,4,0
16-Mar-14,Georgia,Waynesboro,4,0
16-Mar-14,Texas,Beaumont,1,3
21-Mar-14,South Carolina,North Charleston,4,0
23-Mar-14,California,San Francisco,7,0
23-Mar-14,California,Long Beach,3,1
23-Mar-14,Texas,Arlington,3,1
30-Mar-14,North Carolina,Charlotte,5,0
30-Mar-14,Mississippi,Starkville,5,0
2-Apr-14,Texas,Fort Hood,16,3
5-Apr-14,California,Fairfield,4,0
5-Apr-14,Arizona,Phoenix,3,1
5-Apr-14,Illinois,Chicago,5,1
6-Apr-14,Oklahoma,Oklahoma City,4,0
6-Apr-14,Massachusetts,Springfield,4,0
7-Apr-14,Louisiana,New Orleans,4,0
9-Apr-14,Tennessee,Lookout Valley,1,3
9-Apr-14,Illinois,Rockford,5,0
11-Apr-14,Indiana,Richmond,4,0
12-Apr-14,Louisiana,New Orleans,3,1
14-Apr-14,District of Columbia,Washington,4,0
20-Apr-14,Florida,Tampa,2,2
20-Apr-14,Illinois,Chicago,5,0
20-Apr-14,Illinois,Montgomery,6,0
22-Apr-14,California,Los Angeles,3,1
25-Apr-14,Tennessee,Memphis,3,2
27-Apr-14,New York,Troy,5,0
29-Apr-14,Georgia,Kennesaw,6,0
30-Apr-14,Illinois,Chicago,4,0
3-May-14,Texas,Houston,6,0
3-May-14,Arkansas,Jonesboro,4,3
4-May-14,Illinois,Chicago,3,1
4-May-14,Colorado,Wheat Ridge,4,0
10-May-14,Georgia,Decatur,3,2
10-May-14,Georgia,Stone Mountain,3,1
10-May-14,California,Sacramento,6,1
11-May-14,Tennessee,Memphis,7,0
12-May-14,Illinois,Chicago,4,0
13-May-14,Georgia,Atlanta,5,0
17-May-14,District of Columbia,Washington,5,0
17-May-14,California,Coachella,3,1
18-May-14,Ohio,Sandusky,7,0
21-May-14,Texas,Dallas,3,1
23-May-14,California,Bellflower,2,2
23-May-14,Louisiana,New Orleans,7,1
23-May-14,California,Goleta,7,3
24-May-14,South Carolina,Myrtle Beach,1,3
24-May-14,Michigan,Detroit,4,0
25-May-14,Ohio,Toledo,3,1
31-May-14,California,San Bernardino,3,1
1-Jun-14,Illinois,Chicago,5,1
1-Jun-14,California,Sacramento,4,0
2-Jun-14,Illinois,Chicago,7,0
3-Jun-14,Georgia,Atlanta,4,1
4-Jun-14,Illinois,Chicago,3,1
7-Jun-14,South Carolina,Moncks Corner,5,1
7-Jun-14,Michigan,Oak Park,3,1
8-Jun-14,Alabama,Opp,4,1
8-Jun-14,Florida,Fort Myers,0,4
9-Jun-14,New Jersey,Paterson,6,0
13-Jun-14,California,Los Angeles,1,3
15-Jun-14,Illinois,Park Forest,4,0
15-Jun-14,Indiana,Kokomo,4,0
20-Jun-14,Maryland,Seat Pleasant,4,0
21-Jun-14,District of Columbia,Washington,4,0
21-Jun-14,Tennessee,Memphis,5,0
