month,state,killed,injured
31-Aug-,Alabama,0,2
10-Jun-,Alabama,0,1
25-Mar-,Alabama,0,1
10-Mar-,Alabama,0,2
7-Mar-01,Alabama,1,2
12-Feb-,Alabama,0,2
27-Dec-,Alabama,0,1
19-Nov-,Alabama,0,1
26-Jun-,Alabama,1,1
3-Apr-01,Alabama,0,1
11-Jul-,Alabama,0,1
27-Jan-,Alabama,0,1
8-Dec-01,Alabama,0,1
12-Nov-,Alabama,0,1
10-Oct-,Alabama,0,1
2-Oct-01,Alabama,0,1
21-Sep-,Alabama,0,1
30-Jul-,Alabama,0,1
17-Feb-,Alabama,0,1
14-Dec-,Alabama,0,1
2018-09,Alabama,,
2018-08,Alabama,,
2018-07,Alabama,,
2018-06,Alabama,,
2018-05,Alabama,,
2018-04,Alabama,,
2018-03,Alabama,,
2018-02,Alabama,,
2018-01,Alabama,,
2017-12,Alabama,,
2017-11,Alabama,,
2017-10,Alabama,,
2017-09,Alabama,,
2017-08,Alabama,,
2017-07,Alabama,,
2017-06,Alabama,,
2017-05,Alabama,,
2017-04,Alabama,,
2017-03,Alabama,,
2017-02,Alabama,,
2017-01,Alabama,,
2016-12,Alabama,,
2016-11,Alabama,,
2016-10,Alabama,,
2016-09,Alabama,,
2016-08,Alabama,,
2016-07,Alabama,,
2016-06,Alabama,,
2016-05,Alabama,,
2016-04,Alabama,,
2016-03,Alabama,,
2016-02,Alabama,,
2016-01,Alabama,,
2015-12,Alabama,,
2015-11,Alabama,,
2015-10,Alabama,,
2015-09,Alabama,,
2015-08,Alabama,,
2015-07,Alabama,,
2015-06,Alabama,,
2015-05,Alabama,,
2015-04,Alabama,,
2015-03,Alabama,,
2015-02,Alabama,,
2015-01,Alabama,,
2014-12,Alabama,,
2014-11,Alabama,,
22-Apr-,Alaska,0,1
21-Jan-,Alaska,0,1
22-Aug-,Alaska,0,1
13-Aug-,Alaska,0,1
20-Mar-,Alaska,0,1
5-Jan-01,Alaska,0,2
2018-09,Alaska,,
2018-08,Alaska,,
2018-07,Alaska,,
2018-06,Alaska,,
2018-05,Alaska,,
2018-04,Alaska,,
2018-03,Alaska,,
2018-02,Alaska,,
2018-01,Alaska,,
2017-12,Alaska,,
2017-11,Alaska,,
2017-10,Alaska,,
2017-09,Alaska,,
2017-08,Alaska,,
2017-07,Alaska,,
2017-06,Alaska,,
2017-05,Alaska,,
2017-04,Alaska,,
2017-03,Alaska,,
2017-02,Alaska,,
2017-01,Alaska,,
2016-12,Alaska,,
2016-11,Alaska,,
2016-10,Alaska,,
2016-09,Alaska,,
2016-08,Alaska,,
2016-07,Alaska,,
2016-06,Alaska,,
2016-05,Alaska,,
2016-04,Alaska,,
2016-03,Alaska,,
2016-02,Alaska,,
2016-01,Alaska,,
2015-12,Alaska,,
2015-11,Alaska,,
2015-10,Alaska,,
2015-09,Alaska,,
2015-08,Alaska,,
2015-07,Alaska,,
2015-06,Alaska,,
2015-05,Alaska,,
2015-04,Alaska,,
2015-03,Alaska,,
2015-02,Alaska,,
2015-01,Alaska,,
2014-12,Alaska,,
2014-11,Alaska,,
17-Mar-,Arizona,0,1
13-Nov-,Arizona,0,1
15-Aug-,Arizona,0,1
28-Jun-,Arizona,0,1
23-Jan-,Arizona,0,1
27-Dec-,Arizona,0,1
5-Nov-01,Arizona,0,1
17-Oct-,Arizona,0,1
12-Oct-,Arizona,0,2
27-Feb-,Arizona,0,2
21-Feb-,Arizona,0,1
18-Feb-,Arizona,0,1
18-Jan-,Arizona,0,1
28-Nov-,Arizona,0,1
25-Oct-,Arizona,0,1
26-Mar-,Arizona,0,1
17-Feb-,Arizona,0,1
2018-09,Arizona,,
2018-08,Arizona,,
2018-07,Arizona,,
2018-06,Arizona,,
2018-05,Arizona,,
2018-04,Arizona,,
2018-03,Arizona,,
2018-02,Arizona,,
2018-01,Arizona,,
2017-12,Arizona,,
2017-11,Arizona,,
2017-10,Arizona,,
2017-09,Arizona,,
2017-08,Arizona,,
2017-07,Arizona,,
2017-06,Arizona,,
2017-05,Arizona,,
2017-04,Arizona,,
2017-03,Arizona,,
2017-02,Arizona,,
2017-01,Arizona,,
2016-12,Arizona,,
2016-11,Arizona,,
2016-10,Arizona,,
2016-09,Arizona,,
2016-08,Arizona,,
2016-07,Arizona,,
2016-06,Arizona,,
2016-05,Arizona,,
2016-04,Arizona,,
2016-03,Arizona,,
2016-02,Arizona,,
2016-01,Arizona,,
2015-12,Arizona,,
2015-11,Arizona,,
2015-10,Arizona,,
2015-09,Arizona,,
2015-08,Arizona,,
2015-07,Arizona,,
2015-06,Arizona,,
2015-05,Arizona,,
2015-04,Arizona,,
2015-03,Arizona,,
2015-02,Arizona,,
2015-01,Arizona,,
2014-12,Arizona,,
2014-11,Arizona,,
8-Sep-01,Arkansas,0,1
14-Feb-,Arkansas,0,1
17-Jan-,Arkansas,0,1
14-Jan-,Arkansas,0,1
14-Oct-,Arkansas,0,1
2-Jul-01,Arkansas,0,2
15-Mar-,Arkansas,0,2
10-Mar-,Arkansas,0,2
2-Mar-01,Arkansas,0,1
24-Feb-,Arkansas,0,1
10-Apr-,Arkansas,0,1
13-Jan-,Arkansas,0,1
30-Jul-,Arkansas,0,1
24-Jun-,Arkansas,0,1
2-Dec-01,Arkansas,0,1
2018-09,Arkansas,,
2018-08,Arkansas,,
2018-07,Arkansas,,
2018-06,Arkansas,,
2018-05,Arkansas,,
2018-04,Arkansas,,
2018-03,Arkansas,,
2018-02,Arkansas,,
2018-01,Arkansas,,
2017-12,Arkansas,,
2017-11,Arkansas,,
2017-10,Arkansas,,
2017-09,Arkansas,,
2017-08,Arkansas,,
2017-07,Arkansas,,
2017-06,Arkansas,,
2017-05,Arkansas,,
2017-04,Arkansas,,
2017-03,Arkansas,,
2017-02,Arkansas,,
2017-01,Arkansas,,
2016-12,Arkansas,,
2016-11,Arkansas,,
2016-10,Arkansas,,
2016-09,Arkansas,,
2016-08,Arkansas,,
2016-07,Arkansas,,
2016-06,Arkansas,,
2016-05,Arkansas,,
2016-04,Arkansas,,
2016-03,Arkansas,,
2016-02,Arkansas,,
