Date,State,City_country,n_killed,n_injured
1-Jan-14,Virginia,Norfolk,2,2
3-Jan-14,New York,Queens,1,3
5-Jan-14,Pennsylvania,Erie,1,3
11-Jan-14,Mississippi,Jackson,0,4
12-Jan-14,Alabama,Huntsville,0,5
12-Jan-14,Louisiana,Tallulah,0,6
12-Jan-14,Illinois,Elgin,0,5
13-Jan-14,Michigan,Detroit,0,4
14-Jan-14,California,Los Angeles,0,4
16-Jan-14,Utah,Spanish Fork,5,0
16-Jan-14,Oklahoma,Ardmore,2,4
20-Jan-14,Virginia,Manassas,0,4
21-Jan-14,New Jersey,Newark,2,3
25-Jan-14,Florida,Belle Glade,0,4
25-Jan-14,Illinois,Chicago,1,4
27-Jan-14,Washington,Seattle,1,4
27-Jan-14,North Carolina,Rocky Mount,0,4
30-Jan-14,Texas,Cypress,4,0
3-Feb-14,Indiana,Franklin,3,2
5-Feb-14,Illinois,Chicago,1,3
6-Feb-14,Louisiana,New Orleans,0,4
7-Feb-14,Florida,Miami,0,5
12-Feb-14,California,Oakland,1,3
12-Feb-14,Indiana,Gary,0,5
12-Feb-14,California,Stockton,1,3
15-Feb-14,Nevada,Las Vegas,0,5
16-Feb-14,Florida,Jacksonville,1,4
16-Feb-14,Texas,Dallas,1,7
16-Feb-14,Indiana,Fort Wayne,0,5
16-Feb-14,Texas,Fort Worth,1,4
16-Feb-14,Florida,Orlando (Pine Hills),1,6
20-Feb-14,California,Alturas,4,2
20-Feb-14,Indiana,Indianapolis,4,0
22-Feb-14,California,Wilmington,0,4
25-Feb-14,Virginia,Glade Spring,4,1
1-Mar-14,Michigan,Detroit,0,4
1-Mar-14,Pennsylvania,Pittsburgh,1,4
5-Mar-14,South Carolina,Pelzer,3,1
8-Mar-14,Illinois,Chicago,0,6
8-Mar-14,California,Richmond,1,3
9-Mar-14,Texas,Austin,0,6
9-Mar-14,Ohio,Fremont,3,1
14-Mar-14,New York,Brooklyn,0,4
16-Mar-14,Georgia,Waynesboro,0,4
16-Mar-14,Texas,Beaumont,3,1
21-Mar-14,South Carolina,North Charleston,0,4
23-Mar-14,California,San Francisco,0,7
23-Mar-14,California,Long Beach,1,3
23-Mar-14,Texas,Arlington,1,3
30-Mar-14,North Carolina,Charlotte,0,5
30-Mar-14,Mississippi,Starkville,0,5
2-Apr-14,Texas,Fort Hood,4,16
5-Apr-14,California,Fairfield,0,4
5-Apr-14,Arizona,Phoenix,1,3
5-Apr-14,Illinois,Chicago,1,5
6-Apr-14,Oklahoma,Oklahoma City,0,4
6-Apr-14,Massachusetts,Springfield,0,4
7-Apr-14,Louisiana,New Orleans,0,4
9-Apr-14,Tennessee,Lookout Valley,3,1
9-Apr-14,Illinois,Rockford,0,5
11-Apr-14,Indiana,Richmond,0,4
12-Apr-14,Louisiana,New Orleans,1,3
14-Apr-14,District of Columbia,Washington,0,4
20-Apr-14,Florida,Tampa,2,2
20-Apr-14,Illinois,Chicago,0,5
20-Apr-14,Illinois,Montgomery,0,6
22-Apr-14,California,Los Angeles,1,3
25-Apr-14,Tennessee,Memphis,2,3
27-Apr-14,New York,Troy,0,5
29-Apr-14,Georgia,Kennesaw,1,6
30-Apr-14,Illinois,Chicago,0,4
3-May-14,Texas,Houston,0,6
3-May-14,Arkansas,Jonesboro,4,4
4-May-14,Colorado,Wheat Ridge,0,4
4-May-14,Illinois,Chicago,1,3
10-May-14,Georgia,Decatur,2,3
10-May-14,Georgia,Stone Mountain,1,3
10-May-14,California,Sacramento,1,6
11-May-14,Tennessee,Memphis,0,7
12-May-14,Illinois,Chicago,0,4
13-May-14,Georgia,Atlanta,0,5
17-May-14,District of Columbia,Washington,0,5
17-May-14,California,Coachella,1,3
18-May-14,Ohio,Sandusky,0,7
21-May-14,Texas,Dallas,1,3
23-May-14,California,Bellflower,2,2
23-May-14,California,Goleta,4,7
23-May-14,Louisiana,New Orleans,1,7
24-May-14,South Carolina,Myrtle Beach,3,1
24-May-14,Michigan,Detroit,0,4
25-May-14,Ohio,Toledo,1,3
31-May-14,California,San Bernardino,1,3
1-Jun-14,Illinois,Chicago,1,5
1-Jun-14,California,Sacramento,0,4
2-Jun-14,Illinois,Chicago,0,7
3-Jun-14,Georgia,Atlanta,1,4
4-Jun-14,Illinois,Chicago,1,3
7-Jun-14,South Carolina,Moncks Corner,1,5
7-Jun-14,Michigan,Oak Park,1,3
8-Jun-14,Alabama,Opp,1,4
8-Jun-14,Florida,Fort Myers,5,0
9-Jun-14,New Jersey,Paterson,0,6
13-Jun-14,California,Los Angeles,3,1
15-Jun-14,Illinois,Park Forest,0,4
15-Jun-14,Indiana,Kokomo,0,4
20-Jun-14,Maryland,Seat Pleasant,0,4
21-Jun-14,District of Columbia,Washington,0,4
21-Jun-14,Tennessee,Memphis,0,5
22-Jun-14,California,Windsor,1,3
24-Jun-14,Florida,Miami,2,7
25-Jun-14,Massachusetts,Lowell,0,5
26-Jun-14,Wisconsin,Milwaukee,0,5
26-Jun-14,Michigan,Detroit,2,2
27-Jun-14,California,San Diego,1,3
28-Jun-14,New York,Manhattan,0,4
28-Jun-14,California,Antioch,0,7
29-Jun-14,California,Los Angeles,1,5
29-Jun-14,Missouri,Saint Louis,0,4
29-Jun-14,Louisiana,New Orleans,1,9
30-Jun-14,Kentucky,Lexington,1,3
2-Jul-14,Pennsylvania,Chester,0,5
4-Jul-14,Virginia,Norfolk,0,5
5-Jul-14,Indiana,Indianapolis,0,7
5-Jul-14,Texas,Houston,0,6
5-Jul-14,Virginia,Norfolk,0,7
5-Jul-14,Illinois,Centreville,0,5
5-Jul-14,Oregon,Portland,1,4
6-Jul-14,Missouri,Saint Louis,0,4
6-Jul-14,New York,Buffalo,0,4
6-Jul-14,Florida,Miami,2,2
7-Jul-14,California,San Bernardino,1,4
7-Jul-14,Kentucky,Stopover,0,4
8-Jul-14,Rhode Island,Providence,0,5
9-Jul-14,Texas,Spring,6,1
11-Jul-14,Illinois,Chicago,1,3
12-Jul-14,California,Pasadena,3,2
13-Jul-14,Washington,Skyway,0,5
13-Jul-14,Connecticut,Stamford,0,5
13-Jul-14,District of Columbia,Washington,0,4
14-Jul-14,California,Sacramento,1,4
19-Jul-14,Illinois,Chicago,0,4
20-Jul-14,Illinois,East Saint Louis,1,3
20-Jul-14,Nevada,Las Vegas,1,3
21-Jul-14,New Jersey,Irvington,0,6
21-Jul-14,Tennessee,Memphis,0,4
23-Jul-14,Pennsylvania,Braddock,0,4
25-Jul-14,Illinois,Chicago,1,6
26-Jul-14,Georgia,Sylvester,0,8
26-Jul-14,Maine,Saco,5,0
26-Jul-14,Arkansas,Pine Bluff,1,3
27-Jul-14,Missouri,Saint Louis,0,5
28-Jul-14,Pennsylvania,Philadelphia,1,4
30-Jul-14,North Carolina,Hope Mills,3,4
1-Aug-14,Pennsylvania,Philadelphia,1,3
2-Aug-14,Massachusetts,New Bedford,0,7
2-Aug-14,Pennsylvania,Pittsburgh,1,5
2-Aug-14,Texas,Dallas,3,1
3-Aug-14,Missouri,Saint Louis,0,5
3-Aug-14,Tennessee,Columbia,0,5
3-Aug-14,Texas,Humble,0,7
3-Aug-14,Virginia,Culpeper,5,0
4-Aug-14,Georgia,Atlanta,0,5
6-Aug-14,California,Bakersfield,3,1
8-Aug-14,New Mexico,Albuquerque,1,3
8-Aug-14,Wisconsin,Milwaukee,0,4
8-Aug-14,District of Columbia,Washington,0,4
9-Aug-14,Minnesota,Minneapolis,1,8
10-Aug-14,California,Moreno Valley,0,7
10-Aug-14,Georgia,Wrightsville,0,6
10-Aug-14,District of Columbia,Washington,0,6
10-Aug-14,Louisiana,New Orleans,2,5
12-Aug-14,Georgia,Cartersville,2,3
12-Aug-14,New York,Buffalo,1,3
13-Aug-14,Louisiana,New Orleans,0,4
13-Aug-14,Tennessee,Clarksville,0,4
14-Aug-14,Tennessee,Memphis,1,3
16-Aug-14,New Jersey,Plainfield,1,3
16-Aug-14,Utah,Salt Lake City,0,6
17-Aug-14,Nevada,Las Vegas,0,4
17-Aug-14,New York,Queens,0,4
17-Aug-14,Massachusetts,Boston,0,4
17-Aug-14,California,East Palo Alto,1,3
18-Aug-14,Louisiana,Saint Martinville,0,4
20-Aug-14,Tennessee,Memphis,0,5
24-Aug-14,Illinois,Chicago,1,3
24-Aug-14,Georgia,Augusta,1,3
24-Aug-14,California,San Fernando,4,5
27-Aug-14,Michigan,Detroit,1,3
29-Aug-14,Florida,Brooksville,3,1
31-Aug-14,California,Livermore,0,5
2-Sep-14,California,Highland,0,5
2-Sep-14,Mississippi,Jackson,2,3
3-Sep-14,California,Los Angeles,0,6
4-Sep-14,Michigan,Flint,0,5
6-Sep-14,Georgia,Macon,0,5
6-Sep-14,Florida,Orlando,0,4
11-Sep-14,Michigan,Detroit,1,7
14-Sep-14,Alaska,Anchorage,0,6
14-Sep-14,Texas,Corpus Christi,3,1
14-Sep-14,Texas,Flour Bluff,3,1
15-Sep-14,Louisiana,New Orleans,0,5
18-Sep-14,Florida,Bell,8,0
19-Sep-14,New York,Queens,0,4
20-Sep-14,Mississippi,Batesville,2,2
21-Sep-14,Ohio,East Liverpool,0,4
26-Sep-14,South Carolina,Florence,1,4
27-Sep-14,Missouri,Saint Louis,0,5
28-Sep-14,Florida,Miami,0,15
28-Sep-14,Pennsylvania,Philadelphia,0,4
29-Sep-14,California,Fresno,0,4
29-Sep-14,South Carolina,Walterboro,1,7
4-Oct-14,California,Pomona,0,4
4-Oct-14,Tennessee,Memphis,2,2
5-Oct-14,Florida,Jacksonville,3,1
5-Oct-14,Michigan,Detroit,1,5
8-Oct-14,Georgia,Atlanta,0,4
8-Oct-14,New York,Guilderland,4,0
11-Oct-14,New York,Utica,0,5
12-Oct-14,California,Stockton,3,1
12-Oct-14,Georgia,Atlanta,1,3
13-Oct-14,Georgia,Atlanta,0,4
14-Oct-14,Georgia,Peachtree Corners,3,2
16-Oct-14,Michigan,Detroit,1,3
18-Oct-14,South Carolina,Graniteville,1,3
18-Oct-14,New York,Brooklyn,0,4
18-Oct-14,New York,Queens,0,4
24-Oct-14,Washington,Marysville,5,1
26-Oct-14,Kentucky,Cadiz,4,0
29-Oct-14,Tennessee,Memphis,0,5
5-Nov-14,California,San Francisco,0,4
7-Nov-14,California,Los Angeles,0,4
7-Nov-14,California,Compton,0,4
8-Nov-14,California,Pomona,0,5
15-Nov-14,Florida,Miami,1,3
15-Nov-14,Missouri,Springfield,4,0
16-Nov-14,Texas,El Paso,0,6
16-Nov-14,Ohio,Akron,1,4
18-Nov-14,Nevada,North Las Vegas,0,4
19-Nov-14,Illinois,Chicago,1,3
21-Nov-14,Pennsylvania,Pittsburgh,0,6
22-Nov-14,Ohio,Springfield,1,3
22-Nov-14,South Dakota,Sisseton,4,1
22-Nov-14,Ohio,Cleveland,4,1
23-Nov-14,Colorado,Denver,1,4
23-Nov-14,Virginia,Parksley,0,4
26-Nov-14,California,San Francisco,0,6
27-Nov-14,Texas,Georgetown,2,3
28-Nov-14,Tennessee,Memphis,0,4
29-Nov-14,Georgia,Atlanta,3,2
29-Nov-14,New Jersey,Newark,1,3
30-Nov-14,New York,Brooklyn,0,4
30-Nov-14,Tennessee,Chattanooga,0,5
2-Dec-14,Virginia,Newport News,0,5
2-Dec-14,Missouri,Saint Louis,1,5
7-Dec-14,Indiana,South Bend,0,4
12-Dec-14,Oregon,Portland,0,4
13-Dec-14,Florida,Tampa,0,5
14-Dec-14,Florida,Miami,1,4
15-Dec-14,Pennsylvania,Lansdale,7,0
16-Dec-14,New Jersey,Elizabeth,0,4
20-Dec-14,Illinois,Rockford,4,0
21-Dec-14,Illinois,Calumet City,1,8
21-Dec-14,Mississippi,Waynesboro,1,4
21-Dec-14,Florida,Sarasota,2,2
22-Dec-14,Illinois,Chicago,0,5
22-Dec-14,New York,Webster,4,2
22-Dec-14,Michigan,Detroit,1,3
23-Dec-14,Kentucky,Winchester,1,3
24-Dec-14,Missouri,Saint Louis,1,3
26-Dec-14,Illinois,East St. Louis,1,3
27-Dec-14,California,Sacramento,0,4
27-Dec-14,California,Los Angeles,1,3
29-Dec-14,Louisiana,New Orleans,0,4
1-Jan-15,Tennessee,Memphis,0,5
2-Jan-15,Georgia,Savannah,1,4
4-Jan-15,Texas,Dallas,3,1
4-Jan-15,Virginia,Roanoke,2,4
6-Jan-15,Florida,Miami,1,3
7-Jan-15,Tennessee,Chattanooga,1,3
8-Jan-15,Massachusetts,Boston,1,3
9-Jan-15,California,San Francisco,4,0
10-Jan-15,Kansas,Wichita,2,2
11-Jan-15,California,San Jose,0,5
11-Jan-15,Florida,Lakeland,1,3
11-Jan-15,North Carolina,Hope Mills,2,5
